// Generated from itemaddoption.bmd with MuOnline PentiumTools
// Options for 380lvl Items(Only in PvP):
// 0) None
// 1)Attack Success Rate increase
// 2)Additional Damage
// 3)Defense Success Rate increase
// 4)Defensive Skill
// 5)Max HP increase
// 6)Max SD increase
// 7)SD Auto Recovery
// 8)SD Recovery Rate increase
//Item Group	Item Id	Option1	Val.Option1	Option2	Val.Option2	Time
0
0	22	2	200	1	10	0
0	23	2	200	1	10	0
0	35	2	200	1	10	0
2	14	2	200	1	10	0
4	21	2	200	1	10	0
5	12	2	200	1	10	0
5	19	2	200	1	10	0
7	29	8	20	3	10	0
7	30	8	20	3	10	0
7	31	8	20	3	10	0
7	33	8	20	3	10	0
7	43	8	20	3	10	0
7	73	8	20	3	10	0
8	29	7	0	3	10	0
8	30	7	0	3	10	0
8	31	7	0	3	10	0
8	32	7	0	3	10	0
8	33	7	0	3	10	0
8	43	7	0	3	10	0
8	73	7	0	3	10	0
9	29	4	200	3	10	0
9	30	4	200	3	10	0
9	31	4	200	3	10	0
9	32	4	200	3	10	0
9	33	4	200	3	10	0
9	43	4	200	3	10	0
9	73	4	200	3	10	0
10	29	5	200	3	10	0
10	30	5	200	3	10	0
10	31	5	200	3	10	0
10	32	5	200	3	10	0
10	33	5	200	3	10	0
10	43	5	200	3	10	0
11	29	6	700	3	10	0
11	30	6	700	3	10	0
11	31	6	700	3	10	0
11	32	6	700	3	10	0
11	33	6	700	3	10	0
11	43	6	700	3	10	0
11	73	6	700	3	10	0
end
// Halloween and Cherry Blossoms event option:
// 0) None
// 1) +%d speed attack
// 2) +%d damage
// 3) +%d defense
// 4) +%d% maximum HP
// 5) +%d% maximum Mana
//Item Group	Item Id	Option1	Val.Option1	Option2	Val.Option2	Time
1
14	46	1	10	0	10	1800
14	47	2	25	0	10	1800
14	48	3	100	0	10	1800
14	49	4	500	0	10	1800
14	50	5	500	0	10	1800
14	72	1	15	0	0	1800
14	73	3	60	0	0	1800
14	74	14	30	0	0	1800
14	75	15	30	0	0	1800
14	76	4	200	0	0	1800
14	77	5	300	0	0	1800
14	78	9	50	0	0	864000
14	79	10	50	0	0	864000
14	80	11	50	0	0	864000
14	81	12	50	0	0	864000
14	82	13	50	0	0	864000
14	85	5	700	0	10	1800
14	86	4	700	0	10	1800
14	87	2	40	0	10	1800
14	97	55	20	0	0	1800
14	98	56	20	0	0	1800
14	140	53	3	4	100	1800
end
// Partial charge option:
// 6) +%d% acquire additional ???
// 7) +%d% increased chance of acquiring additional items
// 8) ??? be acquired
//Item Group	Item Id	Option1	Val.Option1	Option2	Val.Option2	Time
2
13	43	6	150	0	0	1800
13	44	6	200	7	150	1800
13	45	8	0	0	0	1800
13	59	16	0	0	0	1800
13	62	53	5	0	0	1800
13	63	54	5	0	0	1800
13	64	51	40	1	10	0
13	65	52	30	4	50	0
13	76	64	50	2	30	0
13	80	6	150	3	50	0
13	81	8	0	62	0	604800
13	82	63	0	0	0	1800
13	93	6	150	0	0	1800
13	94	6	100	7	150	1800
13	95	60	20	61	1	3600
13	96	2	50	3	60	1800
13	103	68	10	0	0	1800
13	104	66	1	0	0	1800
13	105	67	10	0	0	1800
13	106	64	50	3	50	0
13	109	53	5	51	4	0
13	110	53	5	4	4	0
13	111	53	5	64	40	0
13	112	53	5	52	4	0
13	113	53	5	56	10	0
13	114	53	5	1	7	0
13	115	53	5	0	0	0
13	116	7	150	0	0	1800
13	117	69	100	0	0	21600
13	118	69	100	0	0	86400
13	119	69	100	0	0	604800
13	120	69	100	0	0	2592000
13	128	55	10	0	0	-10
13	129	56	10	0	0	-10
13	130	4	50	0	0	-10
13	131	5	50	0	0	-10
13	132	4	100	70	500	-10
13	133	5	150	69	50	-10
13	134	7	115	0	0	-10
end
