// Generated from itemsetoption.bmd with MuOnline PentiumTools
//Index	Name	2-1Opt	Val.2-1Opt	2-2Opt	Val.2-2Opt	3-1Op	Val.3-1Opt	3-2Opt	Val.3-2Opt	4-1Opt	Val.4-1Opt	4-2Opt	Val.4-2Opt	5-1Opt	Val.5-1Opt	5-2Opt	Val.5-2Opt	6-1Opt	Val.6-1Opt	6-2Opt	Val.6-2Opt	7-1Opt	Val.7-1Opt	7-2Opt	Val.7-2Opt	?	?	?	?	Full1	Val.Full1	Full2	Val.Full2	Full3	Val.Full3	Full4	Val.Full4	Full5	Val.Full5	DW	DK	ELF	MG	DL	SU	RF
1	"Warrior's"	0	10	-1	-1	19	10	-1	-1	13	20	-1	-1	14	5	-1	-1	10	20	-1	-1	1	10	-1	-1	-1	-1	-1	-1	15	5	17	5	0	25	-1	-1	-1	-1	0	0	0	0	0	0	0
2	"Anonymous's"	11	50	-1	-1	1	50	-1	-1	22	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
3	"Hyperion's"	2	15	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	20	12	30	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
4	"Mist's"	3	20	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	10	1	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
5	"Eplete's"	19	15	-1	-1	9	50	-1	-1	7	5	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	30	15	10	17	10	-1	-1	-1	-1	0	0	0	0	0	0	0
6	"Berserker's"	6	10	-1	-1	6	20	-1	-1	6	30	-1	-1	6	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	40	0	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
7	"Garuda's"	13	30	-1	-1	20	5	-1	-1	2	15	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	7	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
8	"Cloud's"	15	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	50	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
9	"Kantata's"	2	15	-1	-1	3	30	-1	-1	7	10	-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	17	10	18	20	-1	-1	-1	-1	0	0	0	0	0	0	0
10	"Rave's"	19	20	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	30	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
11	"Hyon's"	10	25	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
12	"Vicious's"	19	15	-1	-1	8	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20	6	30	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
13	"Apollo's"	2	10	-1	-1	7	5	-1	-1	19	10	-1	-1	12	30	-1	-1	11	30	-1	-1	13	20	-1	-1	-1	-1	-1	-1	15	10	17	10	2	30	-1	-1	-1	-1	0	0	0	0	0	0	0
14	"Barnake's"	7	10	-1	-1	2	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	30	12	100	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
15	"Evis's"	19	15	-1	-1	3	20	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	5	9	50	14	5	-1	-1	-1	-1	0	0	0	0	0	0	0
16	"Sylion's"	20	5	-1	-1	15	5	-1	-1	10	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	50	1	50	3	50	2	50	-1	-1	0	0	0	0	0	0	0
17	"Heras's"	0	15	-1	-1	7	10	-1	-1	22	5	-1	-1	2	15	-1	-1	9	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	11	50	12	50	-1	-1	0	0	0	0	0	0	0
18	"Minet's"	2	30	-1	-1	10	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	100	19	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
19	"Anubis's"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
20	"Enis"	19	10	-1	-1	20	10	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	10	21	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
21	"Ceto's"	1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
22	"Drake's"	1	20	-1	-1	8	25	-1	-1	20	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	40	15	10	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
23	"Gaia's"	19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0	0	0
24	"Fase's"	11	100	-1	-1	12	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	100	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
25	"Odin's"	2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0	0	0
26	"Elvian's"	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	5	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
27	"Argo's"	6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
28	"Karis's"	19	15	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	1	40	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0
29	"Gywen's"	1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
30	"Aruan's"	8	10	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
31	"Gaion's"	21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0	0	0
32	"Muren's"	19	10	-1	-1	7	10	-1	-1	20	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	10	25	23	20	-1	-1	0	0	0	0	0	0	0
33	"Agnis's"	20	10	-1	-1	10	40	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
34	"Broy's"	8	20	-1	-1	19	20	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	4	30	-1	-1	0	0	0	0	0	0	0
35	"Chrono¡¯s"	20	20	-1	-1	10	60	-1	-1	19	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0	0	0
36	"Semeden¡¯s"	7	15	-1	-1	19	25	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
37	"Vega's"	9	50	-1	-1	3	50	-1	-1	6	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	20	5	21	5	-1	-1	-1	-1	0	0	0	0	0	0	0
38	"Chamer's"	10	50	-1	-1	20	5	-1	-1	8	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	30	17	15	19	30	18	20	-1	-1	0	0	0	0	0	0	0
