1
//CatID	Sort	PackID	ProdID	ItemID	Pk.Val	Pr.Opt1	Pr.Opt2	Pr.Opt3	Pr.Opt4
13	1	145	95	6780	1570	0	0	0	0
13	2	143	94	6780	1570	0	0	0	0
13	3	260	281	7330	690	349	0	0	0
13	4	258	282	7331	2490	350	0	0	0
13	5	187	149	7305	0	209	0	0	0
13	6	162	115	7302	500	0	0	0	0
13	7	98	22	7221	100	37	38	0	0
13	8	114	14	6710	250	24	0	0	0
13	9	112	15	6711	250	25	0	0	0
13	10	110	16	6712	250	26	0	0	0
13	11	108	17	6713	250	27	0	0	0
13	12	106	18	6714	250	28	0	0	0
13	13	126	31	7259	500	53	0	0	0
14	1	70	40	6725	50	66	0	0	0
14	2	68	41	6726	40	67	0	0	0
22	1	124	9	6699	100	9	10	11	12
22	2	122	10	6700	150	13	14	15	16
22	3	120	11	6701	80	17	18	19	0
22	4	74	38	6718	120	62	63	0	0
22	5	72	39	6719	100	64	65	0	0
22	6	50	50	6749	100	77	78	79	0
22	7	48	51	6750	150	80	81	82	0
22	8	9	73	6760	120	123	124	0	0
22	9	6	74	6761	120	125	126	0	0
22	10	197	159	7307	320	0	0	0	0
22	11	199	158	7307	320	0	0	0	0
22	12	201	156	7303	488	0	0	0	0
22	13	203	156	7303	488	0	0	0	0
22	14	90	26	7241	100	43	44	0	0
22	15	92	25	7240	150	41	42	0	0
22	16	88	27	7242	150	45	46	0	0
22	17	86	28	7243	150	47	48	0	0
22	18	76	37	7266	150	60	61	0	0
22	19	78	36	7265	150	58	59	0	0
22	20	82	30	7245	100	51	52	0	0
22	21	84	29	7244	100	49	50	0	0
23	1	30	60	6736	150	99	100	0	0
23	2	28	61	6779	150	101	102	0	0
23	3	10	72	6762	150	121	122	0	0
23	4	102	20	6720	100	31	32	33	0
23	5	100	21	6721	100	34	35	36	0
24	1	36	57	6732	100	93	94	0	0
24	2	34	58	6676	100	95	96	0	0
24	3	147	71	6763	130	119	120	0	0
