1
//ID1	ID2	Value	ItemID	Dur	Rate	Quant	Days	Name
3	3	0	6700	259200	0	0	365	"Seal of Wealth(3day)"
4	4	0	7243	259200	0	0	365	"Scroll of Wizardry(3Day)"
5	5	0	7242	259200	0	0	365	"Scroll of Wrath(3Day)"
6	6	0	6736	259200	0	0	365	"Pet Panda(3Day)"
7	7	0	6766	432000	0	0	365	"Ruby Ring(5Day)"
8	8	0	6767	432000	0	0	365	"Topaz Ring(5Day)"
9	9	100	6699	86400	0	0	365	"Seal of Ascension"
9	10	250	6699	259200	0	0	365	"Seal of Ascension"
9	11	500	6699	604800	0	0	365	"Seal of Ascension"
9	12	1400	6699	2592000	0	0	365	"Seal of Ascension"
10	13	150	6700	86400	0	0	365	"Seal of Wealth"
10	14	350	6700	259200	0	0	365	"Seal of Wealth"
10	15	700	6700	604800	0	0	365	"Seal of Wealth"
10	16	2100	6700	2592000	0	0	365	"Seal of Wealth"
11	17	80	6701	86400	0	0	365	"Seal of Sustenance"
11	18	680	6701	864000	0	0	365	"Seal of Sustenance"
11	19	1250	6701	2592000	0	0	365	"Seal of Sustenance"
12	20	100	6702	0	0	1	365	"Devil Square Ticket"
12	21	900	6702	0	0	10	365	"Devil Square Ticket"
13	22	100	6703	0	0	1	355	"Blood Castle Ticket"
13	23	900	6703	0	0	10	355	"Blood Castle Ticket"
14	24	250	6710	0	0	1	365	"Reset Fruit Strength"
15	25	250	6711	0	0	1	365	"Reset Fruit Quickness"
16	26	250	6712	0	0	1	365	"Reset Fruit Health"
17	27	250	6713	0	0	1	365	"Reset Fruit Energy"
18	28	250	6714	0	0	1	365	"Reset Fruit Control"
19	29	150	6717	0	0	1	365	"Illusion Temple Ticket"
19	30	1350	6717	0	0	10	365	"Illusion Temple Ticket"
20	31	100	6720	86400	0	0	365	"Demon"
20	32	500	6720	604800	0	0	365	"Demon"
20	33	1400	6720	2592000	0	0	365	"Demon"
21	34	100	6721	86400	0	0	365	"Spirit of Guardian"
21	35	500	6721	604800	0	0	365	"Spirit of Guardian"
21	36	1400	6721	2592000	0	0	365	"Spirit of Guardian"
22	37	100	7221	0	1	0	365	"Talisman of Luck"
22	38	400	7221	0	5	0	365	"Talisman of Luck"
23	39	20	7238	0	0	20	365	"Elite Healing Potion"
24	40	20	7239	0	0	20	365	"Elite Mana Potion"
25	41	150	7240	86400	0	0	365	"Scroll of Quickness"
25	42	700	7240	604800	0	0	365	"Scroll of Quickness"
26	43	100	7241	86400	0	0	365	"Scroll of Protection"
26	44	500	7241	604800	0	0	365	"Scroll of Protection"
27	45	150	7242	86400	0	0	365	"Scroll of Wrath"
27	46	700	7242	604800	0	0	365	"Scroll of Wrath"
28	47	150	7243	86400	0	0	365	"Scroll of Wizardry"
