//Index	ID	Level	Opt	Luck	Skill	Dur	Exc	Slt1	Slt2	Slt3	Slt4	Slt5	Cost
//--------------------------------------------------------------------------------------------------------------------------
1
13	43	0	0	0	0	255	0	0	0	0	0	0	6
13	44	0	0	0	0	255	0	0	0	0	0	0	9
13	45	0	0	0	0	255	0	0	0	0	0	0	15
14	55	0	0	0	0	255	0	0	0	0	0	0	9
14	56	0	0	0	0	255	0	0	0	0	0	0	15
14	57	0	0	0	0	255	0	0	0	0	0	0	30
end

//MobID	Points
//-------------------------------------------------------------------------------------------------------------------------
2
18	1
25	1
38	2
67	2
49	2
59	3
63	3
77	4
161	1
181	2
189	3
197	4
267	5
275	6
338	6
42	6
43	1
44	2
55	1
78	1
54	1
53	1
81	2
83	2
79	3
80	3
82	3
135	3
295	5
300	3
301	4
302	3
303	3
309	4
349	6
360	5
361	6
362	5
363	5
364	6
409	4
410	4
411	4
412	5
446	5
459	6
end
