0

//SKILL	REQ1	REQ2	Cat	Ran	sType	LReq	LMax	Value	DW	DK	ELF	MG	DL	SUM	RF

//Universal

300	0	0	1	1	0	1	20	12.04	1	1	1	1	1	1	0
301	0	0	1	1	0	1	20	614.18	4	4	4	4	4	4	0
302	0	0	1	2	0	1	20	511.73	6	6	6	6	6	6	0
303	0	0	1	2	0	1	20	1.81	7	7	7	7	7	7	0
304	0	0	1	2	0	1	20	1.20	8	8	8	8	8	8	0
305	300	0	1	3	0	1	20	12.04	9	9	9	9	9	9	0
306	302	0	1	3	0	1	20	1.20	10	10	10	10	10	10	0
307	303	0	1	3	0	1	20	1.20	11	11	11	11	11	11	0
308	304	0	1	3	0	1	20	1.20	12	12	12	12	12	12	0
309	0	0	1	4	0	1	20	60	14	14	14	14	14	14	0
310	307	0	1	4	0	1	20	1.20	15	15	15	15	15	15	0
311	308	0	1	4	0	1	20	1.20	16	16	16	16	16	16	0
312	305	0	1	5	0	1	20	12.04	17	17	17	17	17	17	0
313	309	0	1	5	0	1	20	1.20	18	18	18	18	18	18	0

//--DK

325	0	0	2	1	0	1	20	511.73	37	37	37	37	37	37	0
326	22	0	2	2	22	1	20	5.02	0	41	0	0	0	0	0
327	23	0	2	2	23	1	20	6.32	0	42	0	0	0	0	0
328	19	0	2	2	19	1	20	6.32	0	43	0	0	0	0	0
329	20	0	2	2	20	1	20	6.32	0	44	0	0	0	0	0
330	41	0	2	3	41	1	20	6.32	0	45	0	0	0	0	0
331	42	0	2	3	42	1	20	5.02	0	46	0	0	0	0	0
332	330	0	2	4	41	1	20	1.20	0	49	0	0	0	0	0
333	331	0	2	4	42	1	20	1.20	0	50	0	0	0	0	0
334	0	0	2	4	0	1	20	102.35	49	51	52	52	52	52	0
335	0	0	2	4	0	1	20	5.02	0	52	0	0	0	0	0
336	43	0	2	5	43	1	20	5.02	0	53	0	0	0	0	0
337	232	0	2	5	232	1	20	5.02	0	54	0	0	0	0	0
338	334	0	2	5	0	1	20	102.35	53	55	56	56	56	56	0


347	0	0	3	1	0	1	20	818.77	73	73	73	73	73	73	0
348	0	0	3	2	0	1	20	8.83	0	77	0	77	0	0	0
